iter	Passed	Remaining
1103	7925	20789
1104	7932	20781
1105	7937	20769
1106	7942	20757
1107	7949	20748
1108	7956	20740
1109	7962	20731
1110	7967	20719
1111	7973	20709
1112	7981	20702
1113	7987	20692
1114	7993	20683
1115	7999	20673
1116	8005	20661
1117	8011	20653
1118	8019	20645
1119	8024	20635
1120	8030	20624
1121	8035	20611
1122	8044	20610
1123	8050	20599
1124	8056	20589
1125	8062	20577
1126	8068	20567
1127	8073	20557
1128	8079	20546
1129	8084	20534
1130	8090	20523
1131	8097	20515
1132	8103	20504
1133	8109	20494
1134	8114	20484
1135	8120	20471
1136	8124	20458
1137	8130	20448
1138	8137	20439
1139	8142	20426
1140	8148	20416
1141	8154	20406
1142	8159	20396
1143	8165	20384
1144	8172	20378
1145	8232	20502
1146	8239	20494
1147	8248	20490
1148	8256	20487
1149	8265	20484
1150	8272	20477
1151	8278	20466
1152	8285	20458
1153	8291	20448
1154	8297	20438
1155	8302	20427
1156	8309	20417
1157	8314	20406
1158	8319	20393
1159	8325	20383
1160	8330	20371
1161	8336	20360
1162	8342	20350
1163	8347	20338
1164	8353	20328
1165	8359	20317
1166	8365	20307
1167	8371	20298
1168	8377	20288
1169	8383	20277
1170	8389	20267
1171	8395	20257
1172	8401	20249
1173	8408	20240
1174	8414	20231
1175	8422	20224
1176	8428	20216
1177	8435	20208
1178	8441	20198
1179	8447	20187
1180	8453	20176
1181	8459	20167
1182	8466	20159
1183	8478	20164
1184	8484	20154
1185	8490	20144
1186	8497	20137
1187	8502	20125
1188	8508	20114
1189	8515	20107
1190	8521	20098
1191	8527	20088
1192	8533	20079
1193	8541	20073
1194	8548	20065
1195	8554	20056
1196	8560	20045
1197	8566	20035
1198	8571	20023
1199	8577	20013
1200	8582	20002
1201	8588	19992
1202	8594	19982
1203	8600	19971
1204	8606	19963
1205	8613	19956
1206	8619	19944
1207	8624	19934
1208	8629	19922
1209	8635	19910
1210	8640	19900
1211	8647	19892
1212	8654	19885
1213	8661	19877
1214	8670	19873
1215	8681	19875
1216	8690	19873
1217	8697	19865
1218	8703	19855
1219	8708	19844
1220	8714	19835
1221	8720	19823
1222	8726	19813
1223	8731	19803
1224	8740	19800
1225	8746	19789
1226	8753	19783
1227	8759	19772
1228	8765	19763
1229	8771	19753
1230	8776	19741
1231	8782	19731
1232	8787	19721
1233	8793	19709
1234	8799	19700
1235	8805	19690
1236	8811	19680
1237	8816	19670
1238	8822	19659
1239	8828	19650
1240	8834	19640
1241	8840	19630
1242	8845	19618
1243	8850	19608
1244	8856	19597
1245	8861	19587
1246	8867	19576
1247	8872	19565
1248	8878	19554
1249	8884	19546
1250	8890	19535
1251	8895	19523
1252	8901	19514
1253	8906	19503
1254	8911	19492
1255	8917	19481
1256	8922	19471
1257	8929	19462
1258	8938	19459
1259	8943	19449
1260	8949	19438
1261	8954	19428
1262	8960	19418
1263	8966	19408
1264	8972	19400
1265	8978	19390
1266	8984	19379
1267	8989	19369
1268	8996	19360
1269	9001	19350
1270	9007	19341
1271	9013	19331
1272	9019	19321
1273	9024	19310
1274	9030	19299
1275	9036	19290
1276	9041	19279
1277	9047	19269
1278	9052	19259
1279	9058	19250
1280	9065	19241
1281	9070	19231
1282	9076	19220
1283	9081	19210
1284	9087	19200
1285	9092	19189
1286	9098	19178
1287	9104	19170
1288	9111	19164
1289	9117	19153
1290	9125	19148
1291	9132	19142
1292	9139	19133
1293	9147	19129
1294	9154	19122
1295	9162	19117
1296	9169	19110
1297	9178	19106
1298	9185	19099
1299	9190	19088
1300	9198	19083
1301	9207	19078
1302	9217	19079
1303	9296	19220
1304	9303	19213
1305	9320	19226
1306	9335	19236
1307	9343	19229
1308	9351	19223
1309	9356	19213
1310	9363	19204
1311	9368	19194
1312	9374	19183
1313	9380	19174
1314	9385	19163
1315	9391	19153
1316	9396	19143
1317	9402	19133
1318	9408	19124
1319	9414	19114
1320	9421	19106
1321	9426	19095
1322	9431	19084
1323	9438	19075
1324	9444	19067
1325	9450	19057
1326	9456	19047
1327	9462	19038
1328	9469	19031
1329	9477	19026
1330	9485	19020
1331	9490	19009
1332	9497	19001
1333	9502	18990
1334	9507	18979
1335	9512	18968
1336	9519	18959
1337	9525	18950
1338	9530	18939
1339	9536	18929
1340	9541	18918
1341	9546	18908
1342	9552	18898
1343	9558	18889
1344	9563	18877
1345	9568	18867
1346	9575	18858
1347	9580	18848
1348	9588	18843
1349	9594	18833
1350	9599	18822
1351	9604	18812
1352	9610	18802
1353	9616	18793
1354	9621	18781
1355	9627	18771
1356	9632	18761
1357	9637	18750
1358	9644	18742
1359	9650	18734
1360	9657	18726
1361	9664	18718
1362	9670	18708
1363	9676	18699
1364	9681	18689
1365	9687	18680
1366	9693	18670
1367	9698	18660
1368	9704	18651
1369	9710	18640
1370	9715	18630
1371	9722	18622
1372	9728	18614
1373	9736	18609
1374	9748	18610
1375	9755	18602
1376	9762	18595
1377	9768	18587
1378	9774	18577
1379	9779	18566
1380	9784	18556
1381	9790	18547
1382	9796	18538
1383	9803	18530
1384	9809	18520
1385	9814	18509
1386	9820	18500
1387	9826	18491
1388	9832	18482
1389	9838	18473
1390	9843	18462
1391	9848	18451
1392	9853	18441
1393	9860	18433
1394	9866	18425
1395	9871	18414
1396	9878	18405
1397	9883	18395
1398	9890	18387
1399	9898	18382
1400	9906	18377
1401	9912	18367
1402	9917	18357
1403	9923	18348
1404	9929	18340
1405	9935	18330
1406	9941	18321
1407	9947	18312
1408	9953	18303
1409	9959	18294
1410	9965	18285
1411	9971	18276
1412	9979	18270
1413	9985	18262
1414	9990	18251
1415	9997	18243
1416	10003	18234
1417	10009	18226
1418	10022	18229
1419	10028	18221
1420	10035	18212
1421	10041	18203
1422	10047	18196
1423	10053	18187
1424	10059	18177
1425	10065	18168
1426	10071	18160
1427	10079	18153
1428	10085	18145
1429	10091	18136
1430	10097	18127
1431	10104	18120
1432	10111	18112
1433	10116	18103
1434	10123	18095
1435	10129	18085
1436	10136	18078
1437	10142	18069
1438	10148	18061
1439	10154	18052
1440	10162	18046
1441	10169	18039
1442	10175	18031
1443	10182	18024
1444	10189	18017
1445	10197	18011
1446	10204	18004
1447	10210	17995
1448	10217	17987
1449	10223	17980
1450	10230	17971
1451	10236	17963
1452	10243	17955
1453	10249	17947
1454	10257	17941
1455	10264	17933
1456	10269	17924
1457	10275	17915
1458	10288	17919
1459	10356	18018
1460	10365	18013
1461	10374	18010
1462	10383	18005
1463	10390	17999
1464	10397	17990
1465	10403	17982
1466	10410	17974
1467	10416	17967
1468	10423	17959
1469	10430	17951
1470	10437	17944
1471	10442	17934
1472	10449	17927
1473	10456	17919
1474	10464	17913
1475	10471	17906
1476	10477	17896
1477	10483	17888
1478	10489	17879
1479	10496	17872
1480	10503	17864
1481	10509	17856
1482	10515	17847
1483	10521	17839
1484	10528	17831
1485	10536	17825
1486	10544	17820
1487	10554	17817
1488	10564	17814
1489	10574	17812
1490	10580	17805
1491	10587	17797
1492	10594	17789
1493	10600	17780
1494	10606	17772
1495	10612	17763
1496	10619	17756
1497	10627	17750
1498	10634	17743
1499	10641	17735
1500	10647	17727
1501	10654	17720
1502	10662	17714
1503	10670	17709
1504	10677	17700
1505	10684	17693
1506	10692	17687
1507	10699	17681
1508	10708	17676
1509	10715	17669
1510	10721	17660
1511	10727	17651
1512	10733	17643
1513	10740	17636
1514	10746	17627
1515	10753	17619
1516	10761	17613
1517	10767	17606
1518	10775	17599
1519	10782	17593
1520	10792	17590
1521	10799	17583
1522	10807	17576
1523	10815	17572
1524	10823	17566
1525	10830	17558
1526	10838	17552
1527	10845	17546
1528	10856	17544
1529	10863	17537
1530	10872	17533
1531	10879	17526
1532	10886	17519
1533	10892	17510
1534	10899	17502
1535	10905	17494
1536	10913	17489
1537	10920	17481
1538	10926	17472
1539	10932	17463
1540	10939	17456
1541	10946	17448
1542	10952	17441
1543	10960	17434
1544	10966	17425
1545	10972	17417
1546	10978	17408
1547	10985	17401
1548	10991	17392
1549	10998	17385
1550	11005	17377
1551	11011	17369
1552	11017	17360
1553	11024	17351
1554	11030	17343
1555	11035	17333
1556	11044	17328
1557	11050	17319
1558	11057	17312
1559	11065	17307
1560	11074	17304
1561	11081	17296
1562	11087	17287
1563	11100	17289
1564	11112	17290
1565	11122	17287
1566	11133	17286
1567	11142	17282
1568	11150	17276
1569	11158	17270
1570	11165	17263
1571	11171	17255
1572	11178	17247
1573	11185	17240
1574	11192	17232
1575	11199	17225
1576	11205	17216
1577	11211	17208
1578	11218	17200
1579	11224	17192
1580	11231	17184
1581	11236	17174
1582	11242	17166
1583	11250	17159
1584	11256	17151
1585	11262	17142
1586	11269	17134
1587	11275	17126
1588	11281	17117
1589	11295	17120
1590	11304	17116
1591	11312	17110
1592	11318	17102
1593	11325	17095
1594	11333	17088
1595	11415	17194
1596	11431	17201
1597	11448	17208
1598	11462	17212
1599	11482	17224
1600	11499	17231
1601	11509	17228
1602	11518	17224
1603	11527	17220
1604	11535	17213
1605	11543	17207
1606	11550	17200
1607	11558	17194
1608	11566	17188
1609	11573	17181
1610	11580	17173
1611	11586	17163
1612	11593	17156
1613	11602	17151
1614	11608	17143
1615	11614	17133
1616	11620	17125
1617	11626	17116
1618	11633	17108
1619	11640	17101
1620	11646	17092
1621	11653	17084
1622	11659	17076
1623	11667	17069
1624	11673	17061
1625	11680	17053
1626	11686	17044
1627	11693	17037
1628	11701	17031
1629	11709	17025
1630	11717	17020
